24-12-2020 14:41:35 - ERROR - v: 7.0.0 - m: 52,0 Mo, u: 0 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:42:59 - ERROR - v: 7.0.0 - m: 57,8 Mo, u: 0 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:46:34 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:46:34 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:46:34 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:46:38 - ERROR - v: 7.0.0 - m: 60,6 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:46:38 - ERROR - v: 7.0.0 - m: 60,7 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:13 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:13 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:13 - ERROR - v: 7.0.0 - m: 54,7 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:13 - ERROR - v: 7.0.0 - m: 54,7 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:13 - ERROR - v: 7.0.0 - m: 59,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:19 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:19 - ERROR - v: 7.0.0 - m: 58,9 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:19 - ERROR - v: 7.0.0 - m: 59,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:25 - ERROR - v: 7.0.0 - m: 60,6 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:25 - ERROR - v: 7.0.0 - m: 60,6 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:25 - ERROR - v: 7.0.0 - m: 60,7 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:47:25 - ERROR - v: 7.0.0 - m: 60,6 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
